Horizon,MAE,RMSE,R2
t+10min,0.45962396264076233,0.5847881998254499,0.9378455877304077
t+20min,0.6309460401535034,0.8291468883117171,0.8757129311561584
t+30min,0.7713508605957031,1.0040435697098973,0.8186821937561035
t+40min,0.9168927669525146,1.1884140712887221,0.7479839324951172
t+50min,1.0363423824310303,1.3394456277472266,0.682334303855896
t+60min,1.1623163223266602,1.488144755674922,0.6106448173522949
t+70min,1.3080476522445679,1.6634261656308191,0.517479419708252
t+80min,1.4146595001220703,1.80385335825701,0.4362504482269287
t+90min,1.49040687084198,1.9116174768484302,0.37093156576156616
t+100min,1.564960241317749,2.000075100442398,0.3150976896286011
t+110min,1.6211262941360474,2.0753075567070867,0.2659359574317932
t+120min,1.6606508493423462,2.127991197947891,0.23368048667907715
